Task: read all titles and abstracts, see records that will be retrieved (pdf).
---------------------------------
Using Rayyan (tool): https://rayyan.ai/reviews/661529 integrated with Mendeley
(untrustworthy, so I decided to go manual)
---------------------------------

Notes:
[n/a] means that I read the Title/Abstract but couldn't retrieve the paper

Acronyms:
ABAC-CC: Attribute-Based Access Control and Communication Control
AIS: Artificial Immune Systems
AI/ML: Artificial Intelligence/Machine Learning
BAN: Body Area Network
CVSS: Common Vulnerability Scoring System
EHR: Electronic Health Records
HIoT: Health Internet of Things
HPA: Health Prescription Assistant
IdM: Decentralized Identity Management Systems
IoB: Internet of Behaviors
IoE: Internet of Everything
IoHT: Internet of Health Things
IoT: Internet of Things
IoT-Health:
IIoT: Industrial Internet of Things
ITS: Intelligent Transportation Systems
IoMT: Internet of Medical Things
MIoT: Medical Internet of Things
ML/DL: Machine Learning/Deep Learning
MMBD: Multimedia Big Data
PET: Privacy Enhancing Technologies
QoS: Quality of Service
WIMD: Wearable and Implantable Medical Devices

--------------------------------------------------------------------------
Google Scholar;;
paper001; IoT; included
paper148; IoT, dynamic risk assessment framework; included
paper149; IoT, risks; included
paper150; risk assessment; included
paper151; IoT, cyber-attacks, cybersecurity framework; included
paper152; risk assessment, but to critical infrastructure; excluded
paper153; unrelated; excluded
paper154; smart cities, unrelated; excluded
paper155; riks in industry 4.0; included
paper156; IoT, risk assessment; included
paper157; IoT, security requirements; included
paper158; security assessment framework; included
paper159; IoT, risk mitigation; included
paper160; satellite systems, unrelated; excluded
paper161; IoT, risk assessment, monitoring; included
paper162; risk management framework, wearable computing; included
paper163; IoT, security risk assessment; included (looks like a magazine though)
paper164; IoT, risk quantification; included
paper165; IoT risk assessment; included
paper166; risk assessment in smart grids coupled with IoT; included
paper167; IoT, attack graphs, security threats, framework; included
paper168; IoT, quantitative risk modeling; included
paper169; IoT, cyber-physical risks, grid; included
paper170; Industry 4.0, risk assessment; included
paper171; smart home, assessing privacy risks; included
paper172; automotive risk analysis, unrelated; included
